"zip5","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
"01256",51250,6832,0.3963,0.0574,708,132
"01257",64531,25372,0.6484,0.0823,2034,321
"01258",92917,27628,0.3288,0.0764,161,39
"01259",110417,30399,0.4222,0.0908,720,207
"01260",123367,29036,0.0435,0.0505,331,444
"01262",51875,34662,0.5698,0.048,1627,298
"01264",73333,13357,0.597,0.0985,252,83
"01266",85406,8928,0.5456,0.0545,920,144
"01267",95360,17003,0.4589,0.0316,8166,102
"01270",99063,18084,0.4408,0.0536,949,200
"01301",52569,3032,0.4397,0.0293,17901,89
"01330",74355,5298,0.4588,0.0522,1542,188
"01331",61990,8180,0.4032,0.0217,13870,261
"01337",75938,11785,0.4147,0.032,2492,249
"01338",57344,29333,0.1975,0.072,97,59
"01339",65139,5465,0.4287,0.0434,1493,182
"01340",64097,8811,0.3711,0.0292,1818,231
"01341",86875,16518,0.4549,0.0895,1658,172
"01342",99732,31741,0.335,0.1029,1135,280
"01343",74545,13407,0.294,0.0872,152,70
"01344",66319,10692,0.4179,0.0484,1697,198
"01346",99082,5778,0.3545,0.1439,407,112
"01347",67500,21314,0.1875,0.0945,207,190
"01349",63717,10736,0.3366,0.0762,715,196
"01350",NA,NA,0.4459,0.0939,114,61
"01351",100078,11645,0.2716,0.0409,2725,438
"01354",72500,6194,0.4425,0.0533,1708,238
"01355",72064,8340,0.3699,0.0365,1010,223
"01360",83750,15484,0.4035,0.0447,2899,19
"01364",53039,5773,0.4183,0.0251,7684,43
"01366",77500,32359,0.377,0.04,1141,135
"01367",67500,11859,0.4125,0.0767,473,89
"01368",89417,13961,0.3858,0.0717,1461,289
"01370",69643,4248,0.4202,0.0348,3690,308
"01373",83826,16676,0.4642,0.0685,5076,365
"01375",58750,9431,0.4241,0.0531,3667,22
"01376",50921,10299,0.427,0.0332,4968,384
"01378",75179,12840,0.3642,0.0288,762,110
"01379",60372,7198,0.4409,0.06,819,138
"01380",72500,64106,0.1378,0.0674,47,43
"01420",60390,5194,0.419,0.0192,41766,62
"01430",103762,19002,0.3568,0.0414,6316,58
"01431",95536,7346,0.3748,0.0534,3189,28
"01432",97097,22164,0.3912,0.0382,7912,264
"01434",140391,59829,0.3002,0.0861,2245,414
"01436",75833,47075,0.5028,0.1644,3673,807
"01438",77381,47053,0.2626,0.1417,365,372
"01440",53400,6558,0.4449,0.0335,21310,137
"01450",169643,23733,0.4175,0.0377,11218,59
"01451",174444,25396,0.4328,0.0493,5068,346
"01452",105938,16801,0.3525,0.0393,4338,18
"01453",69525,4015,0.4525,0.0223,43478,66
"01460",140511,12274,0.4096,0.0267,10063,22
"01462",101540,9956,0.4037,0.0303,11657,53
"01463",111827,9679,0.3987,0.0342,11707,67
"01464",111875,29162,0.3966,0.0433,7400,25
"01468",98925,13079,0.3683,0.0614,4058,758
"01469",103984,17557,0.3921,0.0453,7479,318
"01473",107738,15439,0.3704,0.0387,8148,17
"01474",108068,22515,0.3383,0.0544,1665,320
"01475",85000,19904,0.393,0.045,10292,53
"01501",94267,6937,0.4025,0.0253,16684,75
"01503",106908,19790,0.4676,0.047,3326,29
"01504",89129,11829,0.4054,0.0287,9188,23
"01505",127833,10011,0.4046,0.0357,4810,23
"01506",75329,20270,0.4169,0.0495,3435,24
"01507",106558,3092,0.3402,0.0288,13312,23
"01510",84938,8312,0.3619,0.0257,15221,40
"01515",70660,11114,0.3687,0.0308,2040,235
"01516",133854,13018,0.366,0.0472,9186,343
"01518",78673,28490,0.4258,0.0701,3299,472
"01519",128824,24586,0.4179,0.0408,7626,794
"01520",128245,11824,0.3765,0.0218,16752,385
"01521",82500,12302,0.4466,0.0863,2591,14
"01522",109867,28221,0.3408,0.0603,2907,385
"01523",109651,20566,0.351,0.037,8359,111
"01524",80702,6863,0.3547,0.0337,6296,699
"01525",NA,NA,NA,NA,31,52
"01527",96672,12118,0.4331,0.0408,13827,53
"01529",82131,13959,0.4399,0.0488,3166,38
"01531",86667,10999,0.3664,0.0412,1052,152
"01532",148010,20995,0.4762,0.0332,15605,36
"01534",115439,16137,0.3164,0.0313,6169,682
"01535",77313,8777,0.3985,0.0503,4757,25
"01536",89886,23038,0.4324,0.0471,7141,789
